이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
이범호,4.36,138,560,484,93,150,23,0,33,272,108,1,1,60,9,7,57,15,0,7,0.31,0.391,0.562,0.953,0.411,132.9,4.36,3.95
김주찬,4.12,130,555,511,97,177,37,3,23,289,101,9,7,30,7,1,68,13,1,6,0.346,0.386,0.566,0.952,0.415,135.8,4.12,3.62
나지완,3.94,118,486,380,84,117,21,2,25,217,90,6,3,85,17,1,90,8,0,4,0.308,0.451,0.571,1.022,0.45,158,3.94,3.83
서동욱,3.13,124,485,411,73,120,30,3,16,204,67,9,4,60,5,1,108,8,6,3,0.292,0.386,0.496,0.883,0.389,118.1,3.13,3.07
김주형,2.17,135,387,345,43,97,16,1,19,172,49,1,2,34,6,0,55,9,1,1,0.281,0.355,0.499,0.854,0.376,110.4,2.17,0.05
필,2.12,132,544,499,71,156,37,1,20,255,86,10,3,33,5,0,70,16,0,7,0.313,0.357,0.511,0.868,0.382,113.9,2.12,3.12
이홍구,1.01,106,273,241,27,64,16,2,9,111,45,0,1,19,4,1,66,5,3,6,0.266,0.322,0.461,0.783,0.338,85.2,1.01,-0.74
노수광,0.91,77,238,207,43,64,4,2,4,84,30,12,2,20,1,0,46,0,10,0,0.309,0.373,0.406,0.779,0.347,90.9,0.91,0.01
김호령,0.78,124,514,453,72,121,18,3,8,169,41,19,10,36,10,0,104,7,13,2,0.267,0.333,0.373,0.706,0.32,73.2,0.78,-0.89
신종길,0.76,75,240,213,34,66,8,3,1,83,12,7,4,20,6,0,49,1,1,0,0.31,0.385,0.39,0.775,0.364,102,0.76,0.25
윤정우,0.46,46,82,67,20,20,5,0,2,31,13,6,1,5,7,0,15,2,2,1,0.299,0.4,0.463,0.863,0.385,115.4,0.46,0.05
최원준,0.35,14,25,24,5,11,1,0,1,15,4,1,1,0,0,0,3,0,1,0,0.458,0.458,0.625,1.083,0.467,168.8,0.35,0.49
김다원,0.22,25,47,43,3,13,2,0,1,18,6,0,0,2,2,0,15,1,0,0,0.302,0.362,0.419,0.78,0.36,98.2,0.22,-0.4
김선빈,0.2,6,27,25,3,9,2,1,0,13,0,1,1,1,0,0,3,1,1,0,0.36,0.385,0.52,0.905,0.39,119.9,0.2,-0.17
황대인,0.17,4,7,7,1,3,2,0,1,8,3,0,0,0,0,0,3,0,0,0,0.429,0.429,1.143,1.571,0.635,273.2,0.17,0.08
오준혁,0.15,47,144,132,18,35,8,4,2,57,15,1,2,9,1,0,38,2,2,0,0.265,0.317,0.432,0.749,0.33,80.3,0.15,-0.92
김원섭,0.08,37,90,73,10,16,5,0,0,21,12,1,0,15,0,0,16,2,1,1,0.219,0.348,0.288,0.636,0.311,67.8,0.08,0.38
한승혁,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김광수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김진우,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임창용,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김윤동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
한기주,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
헥터,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박준표,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최영필,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
전상현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
홍건희,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심동섭,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
정용운,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
히메네스,4.85,135,579,523,101,161,36,0,26,275,102,18,9,39,10,2,67,8,1,6,0.308,0.363,0.526,0.889,0.388,126.8,4.85,2.54
오지환,4.16,121,472,393,73,110,14,5,20,194,78,17,9,65,7,0,97,7,2,5,0.28,0.387,0.494,0.881,0.391,126.6,4.16,1.98
박용택,2.96,138,578,509,84,176,24,0,11,233,90,6,6,58,4,5,71,13,0,7,0.346,0.412,0.458,0.87,0.397,126.9,2.96,3.59
채은성,2.01,128,451,403,64,126,20,3,9,179,81,7,3,31,7,0,75,9,2,8,0.313,0.365,0.444,0.809,0.365,105.6,2.01,2.75
김용의,1.8,105,347,308,62,98,18,4,1,127,20,19,7,35,0,0,64,6,4,0,0.318,0.388,0.412,0.8,0.369,104.7,1.8,0.97
손주인,1.61,122,409,354,47,114,20,3,2,146,39,5,4,33,6,0,35,6,12,4,0.322,0.385,0.412,0.798,0.36,100.1,1.61,0.08
정성훈,1.37,126,418,370,58,119,22,1,6,161,64,8,4,33,5,1,59,9,5,5,0.322,0.38,0.435,0.815,0.369,107.7,1.37,0.83
이병규,1.18,103,350,290,43,79,12,2,7,116,37,8,5,47,10,1,81,4,0,3,0.272,0.389,0.4,0.789,0.368,108.1,1.18,1.14
이천웅,0.82,103,320,276,38,81,10,1,6,111,41,6,9,34,3,0,49,3,6,1,0.293,0.376,0.402,0.778,0.356,100,0.82,1.13
문선재,0.79,52,127,111,28,32,3,2,7,60,16,5,0,10,0,0,29,1,5,1,0.288,0.344,0.541,0.885,0.367,112.2,0.79,0.01
유강남,0.78,100,297,263,28,70,7,0,8,101,47,0,0,17,7,0,48,6,4,6,0.266,0.321,0.384,0.705,0.317,76.5,0.78,1.1
