이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
김정혁,0.1,31,91,84,15,23,5,0,0,28,13,3,1,4,2,0,18,1,0,1,0.274,0.319,0.333,0.652,0.301,70.6,0.1,0.45
최영진,0.05,14,22,20,4,4,0,2,1,11,4,1,0,1,0,0,4,0,1,0,0.2,0.238,0.55,0.788,0.303,66.7,0.05,0.46
최충연,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심창민,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박근홍,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
장필준,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김동호,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김승현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최원제,-0.07,11,18,18,3,4,3,0,0,7,3,0,0,0,0,0,6,1,0,0,0.222,0.222,0.389,0.611,0.261,43.2,-0.07,0.05
김상수,-0.07,42,154,144,17,38,7,0,3,54,13,1,1,5,1,0,26,4,3,1,0.264,0.291,0.375,0.666,0.291,62.7,-0.07,-0.76
김성윤,-0.1,22,14,12,3,1,0,0,1,4,2,0,0,2,0,0,7,0,0,0,0.083,0.214,0.333,0.548,0.24,24.8,-0.1,0.1
나원탁,-0.1,12,23,23,2,5,1,0,0,6,0,0,0,0,0,0,12,0,0,0,0.217,0.217,0.261,0.478,0.216,14.5,-0.1,-0.09
이영욱,-0.1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-132.7,-0.1,-0.06
이현동,-0.1,16,16,16,1,3,1,0,0,4,0,1,0,0,0,0,7,1,0,0,0.188,0.188,0.25,0.438,0.195,-0.7,-0.1,-0.22
문선엽,-0.1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-132.7,-0.1,-0.03
정병곤,-0.11,74,82,74,16,16,0,0,2,22,7,1,0,4,2,0,21,3,2,0,0.216,0.275,0.297,0.572,0.259,40.7,-0.11,0.08
안주형,-0.12,10,10,10,0,3,1,0,0,4,2,1,1,0,0,0,1,0,0,0,0.3,0.3,0.4,0.7,0.311,77.1,-0.12,-0.01
최정,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,0.316,0.427,0.684,1.111,0.456,167.6,6.56,5
한동민,3.73,103,414,350,64,103,21,2,29,215,73,2,2,46,15,2,79,8,0,3,0.294,0.396,0.614,1.01,0.426,149.7,3.73,2.95
나주환,2.03,122,452,419,69,122,24,1,19,205,65,0,3,19,5,3,85,15,8,1,0.291,0.329,0.489,0.818,0.347,98.4,2.03,1.61
로맥,2.03,102,416,359,58,87,19,0,31,199,64,1,1,50,6,2,116,6,0,1,0.242,0.344,0.554,0.898,0.378,117.3,2.03,1.67
김동엽,1.46,125,428,393,58,109,18,1,22,195,70,2,4,23,9,1,62,6,0,3,0.277,0.329,0.496,0.826,0.356,103.6,1.46,1.12
정의윤,1.4,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,0.321,0.368,0.496,0.863,0.379,119.7,1.4,0.69
노수광,1.14,126,406,367,71,106,18,3,6,148,39,15,9,22,8,1,81,3,4,5,0.289,0.338,0.403,0.742,0.329,88.6,1.14,0.29
박정권,0.59,118,345,305,37,78,14,1,16,142,51,1,1,30,5,0,78,4,0,5,0.256,0.328,0.466,0.793,0.344,96.3,0.59,0.28
김성현,0.48,130,429,380,45,103,14,0,4,129,29,2,1,34,4,1,28,8,7,3,0.271,0.335,0.339,0.674,0.306,72.6,0.48,-1.13
조용호,0.4,68,225,191,34,52,7,1,0,61,10,11,2,25,3,0,39,4,6,0,0.272,0.365,0.319,0.685,0.318,81.7,0.4,-0.72
최항,0.3,37,116,106,14,34,8,0,1,45,16,0,1,3,3,0,29,1,2,2,0.321,0.351,0.425,0.775,0.341,97.5,0.3,0.09
이재원,0.3,114,350,314,32,76,15,0,9,118,42,0,1,16,8,0,55,9,8,4,0.242,0.292,0.376,0.668,0.291,61.9,0.3,-0.03
이성우,0.27,64,125,111,6,31,5,0,1,39,14,0,0,6,1,0,17,2,7,0,0.279,0.322,0.351,0.673,0.292,63.4,0.27,0.14
이대수,0.18,58,124,105,18,29,5,1,0,36,4,3,0,10,2,0,20,1,7,0,0.276,0.35,0.343,0.693,0.306,74.2,0.18,0.15
정진기,0.13,90,212,197,37,46,5,1,11,86,35,4,0,9,4,0,55,1,2,0,0.234,0.281,0.437,0.718,0.308,70.9,0.13,1.79
김강민,0.02,88,203,183,31,40,5,1,5,62,18,10,4,15,5,0,50,3,0,0,0.219,0.296,0.339,0.634,0.29,61.2,0.02,0.38
전유수,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
서진용,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김주한,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
허건엽,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이홍구,-0.01,50,100,93,14,17,3,0,10,50,18,0,0,4,2,0,40,2,0,1,0.183,0.23,0.538,0.768,0.309,68.9,-0.01,-0.23
김민식,-0.03,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-132.7,-0.03,0
최정용,-0.08,5,8,6,1,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0.333,0.429,0.333,0.762,0.323,83,-0.08,-0.17
최승준,-0.08,31,98,90,11,21,4,0,6,43,16,0,0,7,1,0,34,3,0,0,0.233,0.296,0.478,0.774,0.332,86.6,-0.08,-0.02
박성한,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-132.7,-0.1,-0.11
워스,-0.11,3,11,9,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0.111,0.273,0.111,0.384,0.217,12.4,-0.11,-0.08
김재현,-0.16,14,4,4,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,-132.7,-0.16,-0.01
박승욱,-0.3,73,184,158,25,32,3,2,3,48,11,0,4,16,4,0,57,1,5,1,0.203,0.291,0.304,0.594,0.269,47.7,-0.3,-1.25
박용택,3.73,138,596,509,83,175,23,2,14,244,90,4,2,72,6,6,88,13,0,9,0.344,0.425,0.479,0.904,0.402,140.1,3.73,5.62
유강남,2.57,118,364,324,43,90,13,0,17,154,66,2,0,14,15,0,72,4,9,2,0.278,0.335,0.475,0.811,0.346,105.5,2.57,1.4
오지환,2.14,107,390,334,47,91,13,4,8,136,39,10,5,45,5,2,105,8,1,5,0.272,0.363,0.407,0.77,0.346,101.2,2.14,-0.42
정성훈,1.55,115,321,276,32,86,14,0,6,118,30,4,3,36,6,2,49,4,1,2,0.312,0.4,0.428,0.828,0.375,121.2,1.55,-0.27
이형종,1.42,128,434,377,57,100,18,0,9,145,44,11,6,40,11,0,73,7,4,2,0.265,0.351,0.385,0.736,0.334,94.1,1.42,0
양석환,1.15,132,496,445,62,117,27,3,14,192,83,3,7,38,6,2,93,13,2,5,0.263,0.326,0.431,0.757,0.331,93.4,1.15,-0.66
백창수,1.09,52,122,101,15,33,9,0,4,54,18,1,0,12,4,0,18,4,3,2,0.327,0.412,0.535,0.946,0.404,143,1.09,0.5
안익훈,0.89,108,248,219,38,70,5,0,1,78,16,3,2,18,4,0,28,3,5,2,0.32,0.379,0.356,0.735,0.337,93.6,0.89,0.99
히메네스,0.81,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,0.276,0.333,0.436,0.77,0.341,100.6,0.81,-0.31
이천웅,0.8,75,266,232,35,66,14,0,2,86,27,8,3,24,6,2,45,10,4,0,0.284,0.366,0.371,0.737,0.335,93,0.8,2.38
손주인,0.76,115,334,294,48,82,13,0,5,110,33,4,0,20,5,0,41,10,9,6,0.279,0.329,0.374,0.703,0.31,77.3,0.76,-0.87
김재율,0.62,75,198,181,21,55,9,0,6,82,28,0,1,10,2,0,35,8,4,1,0.304,0.345,0.453,0.798,0.347,103.8,0.62,-0.1
로니,0.34,23,93,79,7,22,5,0,3,36,12,0,0,11,1,1,14,1,0,2,0.278,0.366,0.456,0.821,0.359,112.9,0.34,0.06
정상호,0.26,79,150,137,16,36,3,0,3,48,17,0,0,4,5,0,32,8,4,0,0.263,0.308,0.35,0.659,0.293,66.3,0.26,-0.53
김용의,0.2,60,189,164,17,44,6,2,0,54,8,9,4,19,0,0,49,2,6,0,0.268,0.344,0.329,0.674,0.306,71.9,0.2,-0.3
김주성,0.05,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.927,486.1,0.05,0
문선재,0.05,35,107,92,17,24,6,1,2,38,14,0,3,10,1,0,24,0,2,2,0.261,0.333,0.413,0.746,0.326,88.2,0.05,0.31
