이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA
김성현,0.5,144,472,426,45,105,16,2,1,128,34,6,2,33,2,0,43,15,8,3,0.246,0.302,0.3,0.602,0.282,66.1,-1.99
최항,0.2,52,147,127,12,29,5,0,0,34,14,2,0,16,2,0,24,3,1,1,0.228,0.322,0.268,0.59,0.288,70.1,-1.09
김재현,0.13,83,49,42,29,12,2,1,0,16,2,13,6,4,0,0,11,0,3,0,0.286,0.348,0.381,0.729,0.32,93.9,0.45
임재현,0.1,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.63,302.3,-0.01
채현우,0.03,9,1,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,,0.04
오준혁,0.01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
이승진,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
김태훈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
신재웅,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
최준우,-0.02,15,36,33,3,7,2,0,0,9,0,0,0,3,0,0,3,2,0,0,0.212,0.278,0.273,0.551,0.265,54.8,-0.21
김성민,-0.03,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.236,33,-0.07
박정권,-0.03,18,37,32,5,6,1,0,1,10,5,0,0,5,0,0,11,0,0,0,0.188,0.297,0.313,0.61,0.291,69.4,-0.63
박승욱,-0.04,8,15,13,3,1,0,0,1,4,2,0,0,2,0,0,5,0,0,0,0.077,0.2,0.308,0.508,0.234,25.6,-0.39
최민재,-0.06,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.08
이현석,-0.07,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.03
남태혁,-0.07,12,24,22,1,5,0,0,0,5,1,0,0,2,0,0,3,3,0,0,0.227,0.292,0.227,0.519,0.257,48.3,-0.47
최승준,-0.09,10,24,22,2,5,0,0,0,5,0,0,0,2,0,0,10,1,0,0,0.227,0.292,0.227,0.519,0.257,48.1,-0.19
배영섭,-0.11,30,80,71,5,16,1,0,0,17,7,2,0,6,2,0,15,0,0,1,0.225,0.3,0.239,0.539,0.267,54.8,0.4
정진기,-0.14,13,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0.188,0.235,0.188,0.423,0.209,15.6,-0.13
강승호,-0.18,15,42,39,5,6,0,0,2,12,5,0,0,2,0,0,18,1,1,0,0.154,0.195,0.308,0.503,0.223,19.7,-0.38
김창평,-0.23,18,53,45,4,8,2,0,0,10,3,0,0,4,1,0,11,1,3,0,0.178,0.26,0.222,0.482,0.225,27.3,-0.49
최경모,-0.25,17,16,16,2,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.063,0.063,0.125,0.188,0.082,-69.6,-0.05
최재훈,3.55,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,0.29,0.398,0.362,0.76,0.362,122,-0.01
호잉,3.51,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,0.284,0.34,0.46,0.8,0.359,120.9,1.69
이성열,2.45,129,476,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,0.256,0.343,0.464,0.807,0.364,124.7,1.76
정은원,2.06,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,0.262,0.317,0.374,0.691,0.317,91.8,0.05
김태균,1.9,127,500,433,47,132,21,0,6,171,62,3,0,54,5,5,94,15,0,8,0.305,0.382,0.395,0.777,0.36,121.8,0.4
송광민,1.04,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,0.262,0.296,0.355,0.651,0.3,80,-1.6
정근우,0.75,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,0.278,0.334,0.354,0.688,0.32,94.3,-0.5
장진혁,0.61,113,349,315,42,80,16,5,1,109,24,13,5,26,5,0,74,4,2,1,0.254,0.32,0.346,0.666,0.312,88.2,-0.72
오선진,0.59,122,453,392,37,88,16,0,3,113,36,7,2,38,10,0,72,8,10,3,0.224,0.307,0.288,0.595,0.281,66.7,-1.28
최진행,0.34,45,129,117,10,27,6,0,6,51,19,0,0,9,2,0,28,3,0,1,0.231,0.295,0.436,0.731,0.33,100.5,0.09
지성준,0.33,58,109,104,7,26,6,0,2,38,11,0,0,5,0,0,21,3,0,0,0.25,0.284,0.365,0.65,0.3,79.7,-1.02
강경학,0.25,52,135,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,0.239,0.341,0.274,0.615,0.297,77.6,-0.26
김민하,0.22,72,140,125,14,32,6,0,2,44,14,5,2,9,3,0,41,4,2,1,0.256,0.319,0.352,0.671,0.311,87.7,-0.66
