이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA
강백호,4.74,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,0.336,0.417,0.497,0.913,0.415,157.4,3.83
황재균,4.05,124,506,447,78,127,16,3,20,209,67,10,7,52,2,2,70,10,0,5,0.284,0.358,0.468,0.825,0.373,130.2,2.18
유한준,3.46,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,0,5,0.317,0.383,0.443,0.826,0.381,133.6,4.09
박경수,2.21,136,489,420,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,0.248,0.336,0.376,0.712,0.329,98.4,0.3
심우준,1.92,138,433,391,54,109,13,1,3,133,28,24,3,23,6,0,68,7,12,1,0.279,0.328,0.34,0.668,0.307,81.9,-1.54
장성우,1.32,126,412,365,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,0.263,0.326,0.34,0.666,0.309,83.6,-1.85
김민혁,1,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,0.281,0.341,0.307,0.648,0.309,82.7,-0.27
오승택,0.89,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,0.278,0.317,0.412,0.728,0.334,101.2,0.48
조용호,0.53,87,211,188,15,55,6,3,0,67,19,3,4,21,0,0,28,0,2,0,0.293,0.364,0.356,0.72,0.339,103.2,0.17
강민국,0.28,58,94,88,12,24,0,1,0,26,7,2,0,6,0,0,17,2,0,0,0.273,0.319,0.295,0.615,0.295,72.6,-0.14
송민섭,0.21,104,64,53,24,16,0,1,0,18,4,0,3,7,2,0,13,0,1,1,0.302,0.397,0.34,0.736,0.35,110.6,0.31
이준수,0.03,32,49,36,3,7,1,0,0,8,3,0,0,9,1,0,11,1,3,0,0.194,0.37,0.222,0.592,0.29,71.2,-0.04
정성곤,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
하준호,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
엄상백,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
손동현,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
주권,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
이대은,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
박민석,-0.02,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,0
김재윤,-0.02,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.05
안치영,-0.02,5,7,6,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.167,0.286,0.167,0.452,0.242,38.2,-0.15
배정대,-0.04,34,39,36,7,10,3,0,0,13,4,0,2,1,1,0,12,0,1,0,0.278,0.316,0.361,0.677,0.309,82.4,-0.43
이대형,-0.07,18,19,14,2,2,1,0,0,3,4,0,0,4,0,0,5,0,0,1,0.143,0.316,0.214,0.53,0.271,58.6,-0.1
문상철,-0.07,33,67,59,8,12,1,0,2,19,7,2,0,4,2,0,26,1,0,2,0.203,0.269,0.322,0.591,0.274,61.3,-0.28
오태곤,-0.08,60,192,164,27,36,5,0,2,47,13,10,2,20,4,0,39,4,3,1,0.22,0.318,0.287,0.604,0.289,70.7,-0.33
김병희,-0.08,4,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,0.135,-36.3,-0.03
김진곤,-0.1,19,34,30,4,8,2,0,0,10,6,1,1,2,0,0,8,1,2,0,0.267,0.313,0.333,0.646,0.287,67.5,0.03
정현,-0.1,4,10,9,0,1,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0.111,0.2,0.111,0.311,0.167,-13.6,-0.14
박승욱,-0.15,93,229,209,21,51,3,4,2,68,13,4,1,12,2,0,45,5,6,0,0.244,0.292,0.325,0.617,0.282,65.2,-1.54
