이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
민병헌,4.24,134,579,511,98,166,31,4,16,253,87,9,2,48,15,1,91,18,1,4,0.325,0.396,0.495,0.891,0.4,129.5,2.84,55000
오재일,4.03,105,455,380,69,120,20,2,27,225,92,1,0,64,2,2,73,5,2,7,0.316,0.411,0.592,1.003,0.43,154.4,4.67,19800
에반스,3.76,118,481,400,69,123,31,0,24,226,81,0,0,69,5,0,90,10,0,7,0.308,0.41,0.565,0.975,0.425,150.6,3.29,68000
김재호,3.24,137,496,416,69,129,27,3,7,183,78,8,4,57,5,1,52,8,5,13,0.31,0.389,0.44,0.829,0.374,110.5,2.4,65000
허경민,1.91,144,609,538,96,154,24,4,7,207,81,6,6,49,14,1,58,14,6,2,0.286,0.36,0.385,0.745,0.344,90.5,0.46,30000
오재원,1.43,122,484,416,68,113,18,1,5,148,58,13,10,54,5,1,82,10,3,6,0.272,0.358,0.356,0.713,0.334,84.5,0.72,55000
류지혁,0.73,90,134,118,34,34,5,0,3,48,9,3,2,10,3,0,28,0,2,1,0.288,0.356,0.407,0.763,0.346,94,0.02,5700
국해성,0.55,58,174,151,28,42,11,0,4,65,24,1,1,21,1,0,36,1,0,1,0.278,0.368,0.43,0.798,0.365,107,0.4,5000
정진호,0.27,31,32,24,9,9,0,1,0,11,3,0,2,6,2,0,1,0,0,0,0.375,0.531,0.458,0.99,0.473,169.9,0.3,4700
최주환,0.16,85,182,160,21,45,11,0,2,62,22,0,0,12,4,1,19,2,2,4,0.281,0.339,0.388,0.726,0.328,80.9,-0.01,10000
박세혁,0.04,87,210,172,26,36,5,1,5,58,23,2,2,22,2,0,45,1,11,3,0.209,0.302,0.337,0.639,0.281,51.9,-0.36,6000
김인태,-0.17,14,19,18,0,3,1,0,0,4,3,0,0,1,0,0,4,0,0,0,0.167,0.211,0.222,0.433,0.206,-0.1,-0.4,3000
