이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA,target,WAR_min_max,WPA_min_max,wRC_min_max,OPS_min_max,타수1,득점1,안타1,X2타1,X3타1,홈런1,루타1,타점1,도루1,도실1,볼넷1,사구1,고41,삼진1,병살1,희타1,희비1
정진호,0.27,31.0,32.0,24.0,9.0,9.0,0.0,1.0,0.0,11.0,3.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.375,0.531,0.458,0.99,0.473,169.9,0.3,4700.0,0.0661896243291592,0.22713257965056524,0.8279716466739369,0.7686335403726708,0.75,0.28125,0.28125,0.0,0.03125,0.0,0.34375,0.09375,0.0,0.0625,0.1875,0.0625,0.0,0.03125,0.0,0.0,0.0
최주환,0.16,85.0,182.0,160.0,21.0,45.0,11.0,0.0,2.0,62.0,22.0,0.0,0.0,12.0,4.0,1.0,19.0,2.0,2.0,4.0,0.281,0.339,0.388,0.726,0.328,80.9,-0.01,10000.0,0.056350626118067966,0.19527235354573483,0.5853326063249727,0.5636645962732919,0.8791208791208791,0.11538461538461539,0.24725274725274726,0.06043956043956044,0.0,0.01098901098901099,0.34065934065934067,0.12087912087912088,0.0,0.0,0.06593406593406594,0.02197802197802198,0.005494505494505495,0.1043956043956044,0.01098901098901099,0.01098901098901099,0.02197802197802198
박세혁,0.04,87.0,210.0,172.0,26.0,36.0,5.0,1.0,5.0,58.0,23.0,2.0,2.0,22.0,2.0,0.0,45.0,1.0,11.0,3.0,0.209,0.302,0.337,0.639,0.281,51.9,-0.36,6000.0,0.04561717352415026,0.1593011305241521,0.5062704471101418,0.49611801242236025,0.819047619047619,0.12380952380952381,0.17142857142857143,0.023809523809523808,0.004761904761904762,0.023809523809523808,0.2761904761904762,0.10952380952380952,0.009523809523809525,0.009523809523809525,0.10476190476190476,0.009523809523809525,0.0,0.21428571428571427,0.004761904761904762,0.05238095238095238,0.014285714285714285
김인태,-0.17,14.0,19.0,18.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.167,0.211,0.222,0.433,0.206,-0.1,-0.4,3000.0,0.026833631484794267,0.15519013360739978,0.36450381679389315,0.3361801242236025,0.9473684210526315,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.21052631578947367,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.0,0.21052631578947367,0.0,0.0,0.0
김사연,-0.01,72.0,248.0,228.0,31.0,58.0,7.0,1.0,7.0,88.0,27.0,15.0,5.0,16.0,1.0,1.0,75.0,3.0,3.0,0.0,0.254,0.306,0.386,0.692,0.307,70.6,-0.81,4500.0,0.04114490161001788,0.11305241521068858,0.5572519083969466,0.5372670807453416,0.9193548387096774,0.125,0.23387096774193547,0.028225806451612902,0.004032258064516129,0.028225806451612902,0.3548387096774194,0.10887096774193548,0.06048387096774194,0.020161290322580645,0.06451612903225806,0.004032258064516129,0.004032258064516129,0.3024193548387097,0.012096774193548387,0.012096774193548387,0.0
김상현,1.85,134.0,539.0,475.0,71.0,133.0,20.0,0.0,27.0,234.0,88.0,4.0,5.0,50.0,8.0,4.0,115.0,21.0,0.0,6.0,0.28,0.354,0.493,0.847,0.369,113.2,0.54,20000.0,0.2075134168157424,0.2517985611510791,0.673391494002181,0.657608695652174,0.8812615955473099,0.13172541743970315,0.24675324675324675,0.03710575139146568,0.0,0.05009276437847866,0.43413729128014844,0.16326530612244897,0.0074211502782931356,0.00927643784786642,0.09276437847866419,0.014842300556586271,0.0074211502782931356,0.21335807050092764,0.03896103896103896,0.0,0.011131725417439703
김선민,0.45,23.0,38.0,35.0,2.0,15.0,2.0,0.0,0.0,17.0,3.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.429,0.447,0.486,0.933,0.425,147.3,0.17,3200.0,0.08228980322003576,0.21377183967112023,0.7663576881134133,0.7243788819875777,0.9210526315789473,0.05263157894736842,0.39473684210526316,0.05263157894736842,0.0,0.0,0.4473684210526316,0.07894736842105263,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.15789473684210525,0.0,0.0,0.02631578947368421
댄블랙,1.77,54.0,225.0,198.0,25.0,66.0,10.0,1.0,12.0,114.0,32.0,0.0,0.0,25.0,2.0,2.0,52.0,4.0,0.0,0.0,0.333,0.413,0.576,0.989,0.43,153.6,1.89,25000.0,0.20035778175313057,0.39054470709146966,0.7835332606324973,0.7678571428571429,0.88,0.1111111111111111,0.29333333333333333,0.044444444444444446,0.0044444444444444444,0.05333333333333334,0.5066666666666667,0.14222222222222222,0.0,0.0,0.1111111111111111,0.008888888888888889,0.008888888888888889,0.2311111111111111,0.017777777777777778,0.0,0.0
마르테,4.83,115.0,487.0,425.0,85.0,148.0,32.0,1.0,20.0,242.0,89.0,0.0,0.0,51.0,2.0,7.0,60.0,19.0,0.0,8.0,0.348,0.414,0.569,0.983,0.424,149.0,3.2,75000.0,0.47406082289803214,0.525179856115108,0.7709923664122138,0.7631987577639752,0.8726899383983573,0.17453798767967146,0.30390143737166325,0.06570841889117043,0.002053388090349076,0.04106776180698152,0.49691991786447637,0.18275154004106775,0.0,0.0,0.10472279260780287,0.004106776180698152,0.014373716632443531,0.12320328542094455,0.039014373716632446,0.0,0.01642710472279261
박경수,4.57,137.0,537.0,440.0,75.0,125.0,30.0,1.0,22.0,223.0,73.0,6.0,4.0,74.0,13.0,1.0,115.0,8.0,6.0,4.0,0.284,0.399,0.507,0.906,0.397,131.0,1.12,23000.0,0.4508050089445438,0.31140801644398763,0.7219193020719739,0.7034161490683231,0.819366852886406,0.13966480446927373,0.23277467411545624,0.055865921787709494,0.00186219739292365,0.040968342644320296,0.41527001862197394,0.13594040968342644,0.0111731843575419,0.0074487895716946,0.1378026070763501,0.024208566108007448,0.00186219739292365,0.21415270018621974,0.0148975791433892,0.0111731843575419,0.0074487895716946
