이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA,target,WAR_min_max,WPA_min_max,wRC_min_max,OPS_min_max,타수1,득점1,안타1,X2타1,X3타1,홈런1,루타1,타점1,도루1,도실1,볼넷1,사구1,고41,삼진1,병살1,희타1,희비1
강한울,-0.04,93.0,224.0,208.0,32.0,55.0,5.0,4.0,0.0,68.0,14.0,4.0,2.0,8.0,1.0,0.0,44.0,1.0,6.0,1.0,0.264,0.294,0.327,0.621,0.279,46.8,-0.92,6000.0,0.03846153846153845,0.10174717368961972,0.49236641221374045,0.48214285714285715,0.9285714285714286,0.14285714285714285,0.24553571428571427,0.022321428571428572,0.017857142857142856,0.0,0.30357142857142855,0.0625,0.017857142857142856,0.008928571428571428,0.03571428571428571,0.004464285714285714,0.0,0.19642857142857142,0.004464285714285714,0.026785714285714284,0.004464285714285714
김다원,0.42,86.0,210.0,189.0,21.0,51.0,13.0,1.0,5.0,81.0,17.0,2.0,2.0,12.0,5.0,0.0,53.0,3.0,3.0,1.0,0.27,0.329,0.429,0.757,0.335,84.7,-1.3,7000.0,0.07960644007155634,0.06269270298047275,0.5956924754634678,0.5877329192546584,0.9,0.1,0.24285714285714285,0.06190476190476191,0.004761904761904762,0.023809523809523808,0.38571428571428573,0.08095238095238096,0.009523809523809525,0.009523809523809525,0.05714285714285714,0.023809523809523808,0.0,0.2523809523809524,0.014285714285714285,0.014285714285714285,0.004761904761904762
김민우,0.87,87.0,210.0,167.0,34.0,42.0,10.0,0.0,3.0,61.0,15.0,7.0,2.0,36.0,1.0,0.0,46.0,2.0,6.0,0.0,0.252,0.387,0.365,0.753,0.348,93.6,0.36,12000.0,0.11985688729874774,0.23329907502569372,0.6199563794983642,0.5846273291925466,0.7952380952380952,0.1619047619047619,0.2,0.047619047619047616,0.0,0.014285714285714285,0.2904761904761905,0.07142857142857142,0.03333333333333333,0.009523809523809525,0.17142857142857143,0.004761904761904762,0.0,0.21904761904761905,0.009523809523809525,0.02857142857142857,0.0
김선빈,0.09,33.0,98.0,93.0,7.0,27.0,4.0,0.0,0.0,31.0,9.0,2.0,0.0,3.0,0.0,0.0,10.0,3.0,2.0,0.0,0.29,0.313,0.333,0.646,0.295,59.1,-0.5,13000.0,0.050089445438282636,0.144912641315519,0.5258996728462377,0.5015527950310559,0.9489795918367347,0.07142857142857142,0.2755102040816326,0.04081632653061224,0.0,0.0,0.3163265306122449,0.09183673469387756,0.02040816326530612,0.0,0.030612244897959183,0.0,0.0,0.10204081632653061,0.030612244897959183,0.02040816326530612,0.0
김원섭,0.08,44.0,101.0,80.0,21.0,18.0,4.0,1.0,0.0,24.0,13.0,3.0,1.0,17.0,0.0,0.0,13.0,2.0,2.0,2.0,0.225,0.354,0.3,0.654,0.312,69.3,0.87,15000.0,0.04919499105545616,0.2857142857142857,0.5537077426390403,0.5077639751552795,0.7920792079207921,0.2079207920792079,0.1782178217821782,0.039603960396039604,0.009900990099009901,0.0,0.2376237623762376,0.12871287128712872,0.0297029702970297,0.009900990099009901,0.16831683168316833,0.0,0.0,0.12871287128712872,0.019801980198019802,0.019801980198019802,0.019801980198019802
김주찬,3.06,100.0,442.0,399.0,72.0,138.0,32.0,4.0,9.0,205.0,46.0,22.0,10.0,31.0,4.0,2.0,48.0,11.0,6.0,2.0,0.346,0.397,0.514,0.911,0.399,127.7,2.47,50000.0,0.31574239713774593,0.4501541623843782,0.7129225736095965,0.7072981366459627,0.9027149321266968,0.16289592760180996,0.31221719457013575,0.07239819004524888,0.00904977375565611,0.020361990950226245,0.4638009049773756,0.10407239819004525,0.049773755656108594,0.02262443438914027,0.07013574660633484,0.00904977375565611,0.004524886877828055,0.1085972850678733,0.024886877828054297,0.013574660633484163,0.004524886877828055
김주형,0.0,64.0,176.0,151.0,16.0,37.0,4.0,0.0,7.0,62.0,26.0,0.0,3.0,17.0,2.0,0.0,19.0,3.0,4.0,2.0,0.245,0.326,0.411,0.736,0.323,77.4,-0.04,5500.0,0.042039355992844356,0.1921891058581706,0.5757906215921483,0.5714285714285714,0.8579545454545454,0.09090909090909091,0.21022727272727273,0.022727272727272728,0.0,0.03977272727272727,0.3522727272727273,0.14772727272727273,0.0,0.017045454545454544,0.09659090909090909,0.011363636363636364,0.0,0.10795454545454546,0.017045454545454544,0.022727272727272728,0.011363636363636364
나지완,2.83,118.0,470.0,398.0,64.0,124.0,22.0,0.0,19.0,203.0,79.0,3.0,3.0,54.0,12.0,4.0,97.0,9.0,0.0,6.0,0.312,0.404,0.51,0.914,0.403,129.8,2.05,20000.0,0.295169946332737,0.4069886947584789,0.7186477644492912,0.7096273291925467,0.8468085106382979,0.13617021276595745,0.26382978723404255,0.04680851063829787,0.0,0.04042553191489362,0.4319148936170213,0.16808510638297872,0.006382978723404255,0.006382978723404255,0.1148936170212766,0.02553191489361702,0.00851063829787234,0.20638297872340425,0.019148936170212766,0.0,0.01276595744680851
박기남,0.5,90.0,202.0,171.0,21.0,49.0,9.0,0.0,3.0,67.0,21.0,2.0,5.0,22.0,2.0,0.0,25.0,5.0,5.0,2.0,0.287,0.371,0.392,0.762,0.345,92.0,0.05,10000.0,0.08676207513416814,0.2014388489208633,0.6155943293347874,0.5916149068322981,0.8465346534653465,0.10396039603960396,0.24257425742574257,0.04455445544554455,0.0,0.01485148514851485,0.3316831683168317,0.10396039603960396,0.009900990099009901,0.024752475247524754,0.10891089108910891,0.009900990099009901,0.0,0.12376237623762376,0.024752475247524754,0.024752475247524754,0.009900990099009901
박준태,0.27,32.0,55.0,42.0,6.0,11.0,0.0,0.0,0.0,11.0,2.0,2.0,0.0,8.0,5.0,0.0,18.0,1.0,0.0,0.0,0.262,0.436,0.262,0.698,0.366,102.6,0.28,3400.0,0.0661896243291592,0.2250770811921891,0.6444929116684842,0.5419254658385093,0.7636363636363637,0.10909090909090909,0.2,0.0,0.0,0.0,0.2,0.03636363636363636,0.03636363636363636,0.0,0.14545454545454545,0.09090909090909091,0.0,0.32727272727272727,0.01818181818181818,0.0,0.0
신종길,1.49,103.0,399.0,360.0,60.0,105.0,24.0,6.0,9.0,168.0,51.0,20.0,7.0,29.0,2.0,0.0,92.0,2.0,5.0,3.0,0.292,0.345,0.467,0.812,0.355,97.9,0.34,12000.0,0.17531305903398925,0.23124357656731756,0.6316793893129771,0.6304347826086957,0.9022556390977443,0.15037593984962405,0.2631578947368421,0.06015037593984962,0.015037593984962405,0.022556390977443608,0.42105263157894735,0.12781954887218044,0.05012531328320802,0.017543859649122806,0.07268170426065163,0.005012531328320802,0.0,0.23057644110275688,0.005012531328320802,0.012531328320802004,0.007518796992481203
안치홍,4.55,126.0,479.0,434.0,65.0,147.0,31.0,2.0,18.0,236.0,88.0,19.0,6.0,33.0,6.0,1.0,65.0,11.0,2.0,4.0,0.339,0.39,0.544,0.934,0.408,133.4,3.65,15000.0,0.4490161001788908,0.5714285714285714,0.7284623773173392,0.7251552795031057,0.906054279749478,0.13569937369519833,0.3068893528183716,0.06471816283924843,0.0041753653444676405,0.037578288100208766,0.49269311064718163,0.1837160751565762,0.03966597077244259,0.012526096033402923,0.06889352818371608,0.012526096033402923,0.0020876826722338203,0.13569937369519833,0.022964509394572025,0.0041753653444676405,0.008350730688935281
이대형,2.34,126.0,505.0,461.0,75.0,149.0,15.0,9.0,1.0,185.0,40.0,22.0,15.0,35.0,2.0,2.0,57.0,5.0,5.0,2.0,0.323,0.372,0.401,0.773,0.353,95.5,0.16,30000.0,0.25134168157423964,0.21274409044193215,0.6251363140676118,0.6001552795031057,0.9128712871287129,0.1485148514851485,0.29504950495049503,0.0297029702970297,0.01782178217821782,0.0019801980198019802,0.36633663366336633,0.07920792079207921,0.04356435643564356,0.0297029702970297,0.06930693069306931,0.0039603960396039604,0.0039603960396039604,0.11287128712871287,0.009900990099009901,0.009900990099009901,0.0039603960396039604
이범호,2.41,105.0,406.0,350.0,47.0,94.0,23.0,0.0,19.0,174.0,82.0,2.0,2.0,41.0,11.0,1.0,89.0,9.0,0.0,4.0,0.269,0.36,0.497,0.857,0.375,111.8,1.82,65000.0,0.257602862254025,0.3833504624871531,0.6695747001090513,0.6653726708074534,0.8620689655172413,0.11576354679802955,0.2315270935960591,0.05665024630541872,0.0,0.046798029556650245,0.42857142857142855,0.2019704433497537,0.0049261083743842365,0.0049261083743842365,0.10098522167487685,0.027093596059113302,0.0024630541871921183,0.21921182266009853,0.022167487684729065,0.0,0.009852216748768473
이종환,0.35,92.0,138.0,122.0,14.0,35.0,9.0,0.0,2.0,50.0,23.0,0.0,2.0,11.0,2.0,0.0,33.0,1.0,2.0,1.0,0.287,0.353,0.41,0.763,0.344,91.0,0.39,3600.0,0.073345259391771,0.23638232271325796,0.6128680479825518,0.5923913043478262,0.8840579710144928,0.10144927536231885,0.2536231884057971,0.06521739130434782,0.0,0.014492753623188406,0.36231884057971014,0.16666666666666666,0.0,0.014492753623188406,0.07971014492753623,0.014492753623188406,0.0,0.2391304347826087,0.007246376811594203,0.014492753623188406,0.007246376811594203
필,2.37,92.0,389.0,362.0,64.0,112.0,27.0,0.0,19.0,196.0,66.0,10.0,1.0,22.0,3.0,1.0,65.0,10.0,0.0,2.0,0.309,0.352,0.541,0.894,0.386,119.8,1.53,90000.0,0.2540250447227191,0.35354573484069884,0.6913849509269356,0.6940993788819876,0.9305912596401028,0.16452442159383032,0.2879177377892031,0.06940874035989718,0.0,0.04884318766066838,0.5038560411311054,0.16966580976863754,0.02570694087403599,0.002570694087403599,0.056555269922879174,0.007712082262210797,0.002570694087403599,0.16709511568123395,0.02570694087403599,0.0,0.005141388174807198
김재민,-0.17,38.0,18.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.063,0.167,0.063,0.229,0.135,-45.3,-0.11,3000.0,0.026833631484794267,0.18499486125385406,0.24127589967284627,0.17779503105590064,0.8888888888888888,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0
김지성,0.02,13.0,7.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.167,0.286,0.5,0.786,0.329,70.8,-0.06,3800.0,0.043828264758497305,0.19013360739979443,0.5577971646673937,0.610248447204969,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
문선재,-0.09,22.0,24.0,20.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.15,0.25,0.2,0.45,0.224,13.9,0.0,6500.0,0.033989266547406076,0.1963001027749229,0.40267175572519087,0.34937888198757766,0.8333333333333334,0.16666666666666666,0.125,0.041666666666666664,0.0,0.0,0.16666666666666666,0.16666666666666666,0.125,0.0,0.125,0.0,0.0,0.20833333333333334,0.0,0.0,0.041666666666666664
박경수,0.41,87.0,201.0,162.0,33.0,37.0,6.0,1.0,2.0,51.0,19.0,7.0,1.0,25.0,5.0,0.0,33.0,6.0,6.0,3.0,0.228,0.344,0.315,0.658,0.307,70.0,-0.6,9000.0,0.07871198568872986,0.1346351490236382,0.5556161395856053,0.5108695652173914,0.8059701492537313,0.16417910447761194,0.18407960199004975,0.029850746268656716,0.004975124378109453,0.009950248756218905,0.2537313432835821,0.0945273631840796,0.03482587064676617,0.004975124378109453,0.12437810945273632,0.024875621890547265,0.0,0.16417910447761194,0.029850746268656716,0.029850746268656716,0.014925373134328358
박용근,0.15,27.0,25.0,19.0,8.0,4.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.211,0.4,0.316,0.716,0.355,100.7,-0.21,4000.0,0.05545617173524149,0.17471736896197326,0.6393129770992367,0.5559006211180124,0.76,0.32,0.16,0.08,0.0,0.0,0.24,0.0,0.04,0.0,0.24,0.0,0.0,0.24,0.04,0.0,0.0
박용택,4.49,124.0,549.0,464.0,71.0,159.0,24.0,2.0,9.0,214.0,73.0,11.0,9.0,75.0,1.0,3.0,65.0,15.0,2.0,7.0,0.343,0.43,0.461,0.891,0.405,136.1,3.08,80000.0,0.443649373881932,0.512846865364851,0.7358233369683751,0.6917701863354038,0.8451730418943534,0.12932604735883424,0.2896174863387978,0.04371584699453552,0.0036429872495446266,0.01639344262295082,0.38979963570127507,0.13296903460837886,0.020036429872495445,0.01639344262295082,0.1366120218579235,0.0018214936247723133,0.00546448087431694,0.11839708561020036,0.0273224043715847,0.0036429872495446266,0.012750455373406194
손주인,0.98,120.0,400.0,341.0,49.0,99.0,11.0,0.0,5.0,125.0,31.0,3.0,2.0,30.0,8.0,0.0,42.0,8.0,17.0,4.0,0.29,0.358,0.367,0.724,0.324,82.1,-0.18,12000.0,0.129695885509839,0.1778006166495375,0.5886041439476554,0.562111801242236,0.8525,0.1225,0.2475,0.0275,0.0,0.0125,0.3125,0.0775,0.0075,0.005,0.075,0.02,0.0,0.105,0.02,0.0425,0.01
스나이더,0.14,37.0,113.0,100.0,17.0,21.0,7.0,0.0,4.0,40.0,17.0,0.0,2.0,9.0,3.0,0.0,31.0,0.0,0.0,1.0,0.21,0.292,0.4,0.692,0.308,76.2,-0.18,15000.0,0.054561717352415016,0.1778006166495375,0.5725190839694657,0.5372670807453416,0.8849557522123894,0.1504424778761062,0.18584070796460178,0.061946902654867256,0.0,0.035398230088495575,0.35398230088495575,0.1504424778761062,0.0,0.017699115044247787,0.07964601769911504,0.02654867256637168,0.0,0.2743362831858407,0.0,0.0,0.008849557522123894
오지환,2.62,113.0,464.0,397.0,72.0,104.0,20.0,8.0,8.0,164.0,56.0,28.0,12.0,51.0,7.0,2.0,102.0,8.0,6.0,3.0,0.262,0.354,0.413,0.767,0.343,94.6,2.83,25000.0,0.276386404293381,0.487153134635149,0.6226826608505998,0.5954968944099379,0.8556034482758621,0.15517241379310345,0.22413793103448276,0.04310344827586207,0.017241379310344827,0.017241379310344827,0.35344827586206895,0.1206896551724138,0.0603448275862069,0.02586206896551724,0.10991379310344827,0.015086206896551725,0.004310344827586207,0.21982758620689655,0.017241379310344827,0.01293103448275862,0.00646551724137931
윤요섭,-0.21,27.0,74.0,68.0,4.0,15.0,4.0,0.0,0.0,19.0,2.0,0.0,0.0,2.0,1.0,0.0,15.0,1.0,2.0,1.0,0.221,0.25,0.279,0.529,0.239,23.1,-1.09,10000.0,0.023255813953488365,0.08427543679342238,0.42775354416575795,0.41071428571428575,0.918918918918919,0.05405405405405406,0.20270270270270271,0.05405405405405406,0.0,0.0,0.25675675675675674,0.02702702702702703,0.0,0.0,0.02702702702702703,0.013513513513513514,0.0,0.20270270270270271,0.013513513513513514,0.02702702702702703,0.013513513513513514
이병규,4.1,116.0,450.0,360.0,66.0,110.0,28.0,3.0,16.0,192.0,87.0,5.0,10.0,74.0,5.0,2.0,78.0,7.0,3.0,8.0,0.306,0.423,0.533,0.956,0.417,148.1,3.74,80000.0,0.40876565295169937,0.5806783144912642,0.7685387131952017,0.7422360248447205,0.8,0.14666666666666667,0.24444444444444444,0.06222222222222222,0.006666666666666667,0.035555555555555556,0.4266666666666667,0.19333333333333333,0.011111111111111112,0.022222222222222223,0.16444444444444445,0.011111111111111112,0.0044444444444444444,0.17333333333333334,0.015555555555555555,0.006666666666666667,0.017777777777777778
이진영,2.0,119.0,468.0,412.0,53.0,134.0,19.0,2.0,6.0,175.0,65.0,4.0,3.0,45.0,0.0,5.0,48.0,10.0,2.0,9.0,0.325,0.384,0.425,0.809,0.364,108.5,1.96,60000.0,0.2209302325581395,0.3977389516957862,0.660577971646674,0.6281055900621119,0.8803418803418803,0.11324786324786325,0.2863247863247863,0.0405982905982906,0.004273504273504274,0.01282051282051282,0.37393162393162394,0.1388888888888889,0.008547008547008548,0.00641025641025641,0.09615384615384616,0.0,0.010683760683760684,0.10256410256410256,0.021367521367521368,0.004273504273504274,0.019230769230769232
임재철,-0.24,53.0,76.0,66.0,13.0,16.0,1.0,0.0,0.0,17.0,3.0,0.0,0.0,5.0,1.0,0.0,16.0,1.0,4.0,0.0,0.242,0.306,0.258,0.563,0.261,37.1,-0.85,15000.0,0.02057245080500894,0.10894141829393628,0.4659214830970556,0.437111801242236,0.868421052631579,0.17105263157894737,0.21052631578947367,0.013157894736842105,0.0,0.0,0.2236842105263158,0.039473684210526314,0.0,0.0,0.06578947368421052,0.013157894736842105,0.0,0.21052631578947367,0.013157894736842105,0.05263157894736842,0.0
정성훈,3.96,112.0,455.0,383.0,71.0,126.0,25.0,1.0,13.0,192.0,59.0,10.0,2.0,59.0,7.0,2.0,56.0,13.0,2.0,4.0,0.329,0.424,0.501,0.925,0.413,144.4,2.69,50000.0,0.39624329159212873,0.472764645426516,0.7584514721919302,0.7181677018633541,0.8417582417582418,0.15604395604395604,0.27692307692307694,0.054945054945054944,0.002197802197802198,0.02857142857142857,0.421978021978022,0.12967032967032968,0.02197802197802198,0.004395604395604396,0.12967032967032968,0.015384615384615385,0.004395604395604396,0.12307692307692308,0.02857142857142857,0.004395604395604396,0.008791208791208791
정의윤,0.39,97.0,292.0,261.0,29.0,69.0,14.0,0.0,7.0,104.0,38.0,5.0,4.0,21.0,5.0,1.0,40.0,9.0,2.0,3.0,0.264,0.328,0.398,0.726,0.325,85.6,-0.22,12000.0,0.07692307692307691,0.17368961973278518,0.5981461286804799,0.5636645962732919,0.8938356164383562,0.09931506849315068,0.2363013698630137,0.04794520547945205,0.0,0.023972602739726026,0.3561643835616438,0.13013698630136986,0.017123287671232876,0.0136986301369863,0.07191780821917808,0.017123287671232876,0.003424657534246575,0.136986301369863,0.030821917808219176,0.00684931506849315,0.010273972602739725
조쉬벨,1.47,63.0,275.0,240.0,33.0,64.0,8.0,1.0,10.0,104.0,39.0,3.0,0.0,30.0,1.0,1.0,56.0,10.0,0.0,4.0,0.267,0.346,0.433,0.779,0.347,101.6,0.35,25000.0,0.17352415026833629,0.23227132579650564,0.6417666303162486,0.6048136645962733,0.8727272727272727,0.12,0.23272727272727273,0.02909090909090909,0.0036363636363636364,0.03636363636363636,0.3781818181818182,0.14181818181818182,0.01090909090909091,0.0,0.10909090909090909,0.0036363636363636364,0.0036363636363636364,0.20363636363636364,0.03636363636363636,0.0,0.014545454545454545
채은성,0.6,62.0,197.0,159.0,18.0,44.0,11.0,1.0,1.0,60.0,15.0,5.0,3.0,21.0,10.0,0.0,36.0,3.0,2.0,5.0,0.277,0.385,0.377,0.762,0.354,100.5,0.03,5500.0,0.0957066189624329,0.19938335046248715,0.6387677208287896,0.5916149068322981,0.8071065989847716,0.09137055837563451,0.2233502538071066,0.05583756345177665,0.005076142131979695,0.005076142131979695,0.30456852791878175,0.07614213197969544,0.025380710659898477,0.015228426395939087,0.1065989847715736,0.050761421319796954,0.0,0.18274111675126903,0.015228426395939087,0.01015228426395939,0.025380710659898477
최경철,-0.28,117.0,334.0,290.0,36.0,62.0,11.0,0.0,4.0,85.0,39.0,4.0,2.0,22.0,5.0,0.0,67.0,7.0,16.0,1.0,0.214,0.28,0.293,0.573,0.257,37.5,-1.91,9000.0,0.01699463327370303,0.0,0.4670119956379499,0.4448757763975155,0.8682634730538922,0.10778443113772455,0.18562874251497005,0.03293413173652695,0.0,0.011976047904191617,0.25449101796407186,0.11676646706586827,0.011976047904191617,0.005988023952095809,0.0658682634730539,0.014970059880239521,0.0,0.20059880239520958,0.020958083832335328,0.04790419161676647,0.0029940119760479044
최승준,0.13,20.0,40.0,38.0,4.0,10.0,3.0,0.0,2.0,19.0,11.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,0.263,0.3,0.5,0.8,0.344,102.6,-0.13,2700.0,0.05366726296958854,0.1829393627954779,0.6444929116684842,0.6211180124223603,0.95,0.1,0.25,0.075,0.0,0.05,0.475,0.275,0.0,0.0,0.05,0.0,0.0,0.275,0.025,0.0,0.0
현재윤,0.37,14.0,16.0,15.0,3.0,8.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.533,0.563,0.667,1.229,0.557,233.0,0.46,7800.0,0.07513416815742396,0.2435765673175745,1.0,0.954192546583851,0.9375,0.1875,0.5,0.125,0.0,0.0,0.625,0.125,0.0,0.0,0.0625,0.0,0.0,0.1875,0.0,0.0,0.0
황목치승,-0.05,37.0,51.0,46.0,11.0,14.0,0.0,1.0,0.0,16.0,3.0,2.0,2.0,1.0,0.0,0.0,9.0,1.0,4.0,0.0,0.304,0.319,0.348,0.667,0.285,51.1,-0.29,4000.0,0.037567084078711975,0.16649537512846865,0.5040894220283534,0.5178571428571429,0.9019607843137255,0.21568627450980393,0.27450980392156865,0.0,0.0196078431372549,0.0,0.3137254901960784,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0,0.0,0.17647058823529413,0.0196078431372549,0.0784313725490196,0.0
권희동,1.11,101.0,252.0,221.0,39.0,63.0,10.0,2.0,7.0,98.0,36.0,6.0,1.0,25.0,3.0,2.0,43.0,4.0,1.0,2.0,0.285,0.363,0.443,0.806,0.359,100.8,0.48,5100.0,0.14132379248658317,0.24563206577595065,0.6395856052344602,0.625776397515528,0.876984126984127,0.15476190476190477,0.25,0.03968253968253968,0.007936507936507936,0.027777777777777776,0.3888888888888889,0.14285714285714285,0.023809523809523808,0.003968253968253968,0.0992063492063492,0.011904761904761904,0.007936507936507936,0.17063492063492064,0.015873015873015872,0.003968253968253968,0.007936507936507936
김성욱,-0.05,26.0,26.0,23.0,6.0,4.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.174,0.269,0.348,0.617,0.279,47.5,-0.46,5500.0,0.037567084078711975,0.14902363823227133,0.49427480916030536,0.47903726708074534,0.8846153846153846,0.23076923076923078,0.15384615384615385,0.038461538461538464,0.0,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.34615384615384615,0.0,0.0,0.0
김종호,0.06,113.0,347.0,317.0,58.0,83.0,11.0,4.0,2.0,108.0,25.0,22.0,7.0,19.0,6.0,0.0,55.0,4.0,5.0,0.0,0.262,0.316,0.341,0.657,0.302,64.0,0.25,17500.0,0.04740608228980321,0.22199383350462487,0.539258451472192,0.5100931677018634,0.9135446685878963,0.16714697406340057,0.23919308357348704,0.03170028818443804,0.011527377521613832,0.005763688760806916,0.3112391930835735,0.07204610951008646,0.06340057636887608,0.020172910662824207,0.05475504322766571,0.01729106628242075,0.0,0.1585014409221902,0.011527377521613832,0.01440922190201729,0.0
김태군,-0.02,109.0,322.0,294.0,28.0,77.0,13.0,0.0,0.0,90.0,23.0,0.0,1.0,12.0,4.0,0.0,47.0,9.0,9.0,3.0,0.262,0.297,0.306,0.603,0.275,46.1,-0.46,21000.0,0.040250447227191406,0.14902363823227133,0.4904580152671756,0.46816770186335405,0.9130434782608695,0.08695652173913043,0.2391304347826087,0.040372670807453416,0.0,0.0,0.2795031055900621,0.07142857142857142,0.0,0.003105590062111801,0.037267080745341616,0.012422360248447204,0.0,0.14596273291925466,0.027950310559006212,0.027950310559006212,0.009316770186335404
나성범,6.06,123.0,536.0,477.0,88.0,157.0,28.0,5.0,30.0,285.0,101.0,14.0,5.0,42.0,15.0,2.0,128.0,4.0,1.0,1.0,0.329,0.4,0.597,0.998,0.429,146.2,2.82,30000.0,0.5840787119856886,0.48612538540596095,0.7633587786259541,0.7748447204968945,0.8899253731343284,0.16417910447761194,0.292910447761194,0.05223880597014925,0.009328358208955223,0.055970149253731345,0.5317164179104478,0.1884328358208955,0.026119402985074626,0.009328358208955223,0.07835820895522388,0.027985074626865673,0.0037313432835820895,0.23880597014925373,0.007462686567164179,0.0018656716417910447,0.0018656716417910447
모창민,1.18,122.0,468.0,419.0,62.0,110.0,15.0,0.0,16.0,173.0,72.0,14.0,3.0,37.0,0.0,0.0,82.0,13.0,8.0,4.0,0.263,0.32,0.413,0.733,0.322,76.4,-0.59,12500.0,0.14758497316636848,0.1356628982528263,0.5730643402399128,0.5690993788819876,0.8952991452991453,0.13247863247863248,0.23504273504273504,0.03205128205128205,0.0,0.03418803418803419,0.3696581196581197,0.15384615384615385,0.029914529914529916,0.00641025641025641,0.07905982905982906,0.0,0.0,0.1752136752136752,0.027777777777777776,0.017094017094017096,0.008547008547008548
박민우,3.75,118.0,491.0,416.0,87.0,124.0,21.0,9.0,1.0,166.0,40.0,50.0,10.0,56.0,11.0,0.0,89.0,5.0,4.0,4.0,0.298,0.392,0.399,0.791,0.367,106.9,1.26,19000.0,0.3774597495527728,0.32579650565262075,0.6562159214830972,0.6141304347826088,0.8472505091649695,0.17718940936863545,0.2525458248472505,0.04276985743380855,0.018329938900203666,0.002036659877800407,0.3380855397148676,0.0814663951120163,0.10183299389002037,0.020366598778004074,0.11405295315682282,0.02240325865580448,0.0,0.18126272912423624,0.010183299389002037,0.008146639511201629,0.008146639511201629
손시헌,1.9,97.0,361.0,307.0,39.0,90.0,20.0,1.0,5.0,127.0,39.0,2.0,1.0,34.0,7.0,0.0,53.0,10.0,5.0,8.0,0.293,0.368,0.414,0.782,0.352,96.1,-0.97,40000.0,0.21198568872987475,0.09660842754367933,0.6267720828789531,0.6071428571428572,0.850415512465374,0.10803324099722991,0.24930747922437674,0.055401662049861494,0.002770083102493075,0.013850415512465374,0.3518005540166205,0.10803324099722991,0.00554016620498615,0.002770083102493075,0.09418282548476455,0.019390581717451522,0.0,0.14681440443213298,0.027700831024930747,0.013850415512465374,0.0221606648199446
이종욱,1.56,124.0,495.0,438.0,73.0,126.0,28.0,4.0,6.0,180.0,78.0,15.0,4.0,40.0,3.0,0.0,60.0,5.0,1.0,13.0,0.288,0.342,0.411,0.753,0.339,87.8,3.1,50000.0,0.1815742397137746,0.5149023638232272,0.604143947655398,0.5846273291925466,0.8848484848484849,0.14747474747474748,0.2545454545454545,0.05656565656565657,0.00808080808080808,0.012121212121212121,0.36363636363636365,0.15757575757575756,0.030303030303030304,0.00808080808080808,0.08080808080808081,0.006060606060606061,0.0,0.12121212121212122,0.010101010101010102,0.00202020202020202,0.026262626262626262
이호준,1.37,122.0,500.0,424.0,59.0,115.0,20.0,0.0,23.0,204.0,78.0,3.0,5.0,67.0,3.0,0.0,104.0,15.0,1.0,5.0,0.271,0.371,0.481,0.852,0.377,111.6,1.43,75000.0,0.16457960644007155,0.34326824254881805,0.6690294438386042,0.6614906832298136,0.848,0.118,0.23,0.04,0.0,0.046,0.408,0.156,0.006,0.01,0.134,0.006,0.0,0.208,0.03,0.002,0.01
조영훈,0.21,92.0,124.0,111.0,15.0,29.0,4.0,0.0,6.0,51.0,22.0,1.0,1.0,10.0,1.0,0.0,26.0,1.0,1.0,1.0,0.261,0.325,0.459,0.785,0.342,88.9,-0.5,11000.0,0.06082289803220035,0.144912641315519,0.6071428571428572,0.609472049689441,0.8951612903225806,0.12096774193548387,0.23387096774193547,0.03225806451612903,0.0,0.04838709677419355,0.4112903225806452,0.1774193548387097,0.008064516129032258,0.008064516129032258,0.08064516129032258,0.008064516129032258,0.0,0.20967741935483872,0.008064516129032258,0.008064516129032258,0.008064516129032258
