선수,연도,팀,연봉(만원),WAR
윤석민,2015,KIA,"125,000",3.873
필,2015,KIA,"90,000",3.057
양현종,2015,KIA,"75,000",8.135
이범호,2015,KIA,"65,000",2.778
김주찬,2015,KIA,"50,000",3.164
스틴슨,2015,KIA,"40,000",2.187
험버,2015,KIA,"40,000",0.036
나지완,2015,KIA,"20,000",-0.144
에반,2015,KIA,"15,000",0.234
김병현,2015,KIA,"15,000",-0.193
김원섭,2015,KIA,"15,000",1.448
심동섭,2015,KIA,"14,000",0.545
최영필,2015,KIA,"13,000",1.844
임준혁,2015,KIA,"13,000",2.492
김진우,2015,KIA,"12,000",0.494
김민우,2015,KIA,"12,000",0.619
신종길,2015,KIA,"12,000",0.888
서재응,2015,KIA,"12,000",0.479
박기남,2015,KIA,"10,000",-0.023
김광수,2015,KIA,"10,000",0.549
김태영,2015,KIA,"8,800",0.273
김다원,2015,KIA,"7,000",0.354
이홍구,2015,KIA,"7,000",0.768
한승혁,2015,KIA,"7,000",0.376
최희섭,2015,KIA,"7,000",-0.093
이성우,2015,KIA,"6,500",-0.108
한기주,2015,KIA,"6,500",0.134
강한울,2015,KIA,"6,000",-0.945
유창식,2015,KIA,"6,000",
백용환,2015,KIA,"6,000",0.783
김호령,2015,KIA,"6,000",0.851
김주형,2015,KIA,"5,500",-0.831
곽정철,2015,KIA,"5,500",
최용규,2015,KIA,"5,000",-1.202
박준표,2015,KIA,"4,500",0.206
홍건희,2015,KIA,"4,500",-0.122
박찬호,2015,KIA,"3,700",-1.174
신창호,2015,KIA,"3,700",-0.032
이호신,2015,KIA,"3,600",-0.351
윤완주,2015,KIA,"3,500",
전현태,2015,KIA,"3,500",-0.051
박준태,2015,KIA,"3,400",-0.212
오준혁,2015,KIA,"3,300",
배힘찬,2015,KIA,"3,300",
임기준,2015,KIA,"3,300",-0.502
고영우,2015,KIA,"3,200",-0.519
김준,2015,KIA,"3,200",0.085
이은총,2015,KIA,"3,000",-0.205
이인행,2015,KIA,"3,000",-0.779
황대인,2015,KIA,"3,000",-0.353
최현정,2015,KIA,"3,000",
노수광,2015,KIA,"3,000",-0.229
최병연,2015,KIA,"3,000",0.032
류은재,2015,KIA,"3,000",
윤정우,2015,KIA,"2,900",
김명찬,2015,KIA,"2,900",0.186
김지훈,2015,KIA,"2,900",
백세웅,2015,KIA,"2,800",
박상옥,2015,KIA,"2,800",
오두철,2015,KIA,"2,800",
이준영,2015,KIA,"2,700",
황수현,2015,KIA,"2,700",-0.047
이종석,2015,KIA,"2,700",-0.206
이윤학,2015,KIA,"2,700",
문경찬,2015,KIA,"2,700",-0.49
박정수,2015,KIA,"2,700",0.08
장시하,2015,KIA,"2,700",
이승엽,2015,삼성,"100,000",3.156
윤성환,2015,삼성,"80,000",3.909
안지만,2015,삼성,"75,000",2.378
장원삼,2015,삼성,"75,000",-0.371
최형우,2015,삼성,"70,000",4.863
나바로,2015,삼성,"70,000",6.688
피가로,2015,삼성,"60,000",4.242
클로이드,2015,삼성,"55,000",0.195
임창용,2015,삼성,"50,000",2.08
박한이,2015,삼성,"45,000",2.373
차우찬,2015,삼성,"40,000",1.623
김상수,2015,삼성,"31,000",2.732
진갑용,2015,삼성,"25,000",0.331
이지영,2015,삼성,"21,000",2.123
배영섭,2015,삼성,"16,000",0.06
박해민,2015,삼성,"15,000",4.972
백정현,2015,삼성,"15,000",0.01
