선수,연도,팀,연봉(만원),WAR
임대한,2016,삼성,"2,700",0.26
박민규,2016,삼성,"2,700",0.135
이성규,2016,삼성,"2,700",-0.087
김승현,2016,삼성,"2,700",0.08
황선도,2016,삼성,"2,700",0.03
김기환,2016,삼성,"2,700",
니퍼트,2016,두산,"120,000",5.969
장원준,2016,두산,"100,000",5.669
보우덴,2016,두산,"65,000",4.776
에반스,2016,두산,"55,000",3.56
오재원,2016,두산,"55,000",1.762
양의지,2016,두산,"42,000",4.874
김재호,2016,두산,"41,000",4.409
홍성흔,2016,두산,"40,000",-0.153
유희관,2016,두산,"40,000",4.135
이현승,2016,두산,"40,000",0.236
민병헌,2016,두산,"35,000",4.038
정수빈,2016,두산,"28,000",0.541
홍상삼,2016,두산,"22,000",0.142
허경민,2016,두산,"20,000",1.27
김성배,2016,두산,"18,000",
이원석,2016,두산,"15,000",0.311
고영민,2016,두산,"15,000",0.05
이용찬,2016,두산,"14,500",0.256
윤명준,2016,두산,"11,500",1.205
오현택,2016,두산,"11,000",0.042
최주환,2016,두산,"11,000",0.077
함덕주,2016,두산,"10,000",0.029
오재일,2016,두산,"9,500",3.991
허준혁,2016,두산,"7,500",0.327
이흥련,2016,두산,"7,500",
변진수,2016,두산,"7,300",
박건우,2016,두산,"7,000",4.709
고원준,2016,두산,"6,800",
이현호,2016,두산,"6,800",-0.11
최재훈,2016,두산,"6,800",-0.082
김강률,2016,두산,"6,200",0.179
진야곱,2016,두산,"6,000",0.492
정진호,2016,두산,"5,200",0.234
김재환,2016,두산,"5,000",5.365
임진우,2016,두산,"3,700",
김명성,2016,두산,"3,200",
안규영,2016,두산,"3,000",-0.017
류지혁,2016,두산,"3,000",1.218
최영진,2016,두산,"3,000",
김강,2016,두산,"3,000",
박세혁,2016,두산,"3,000",0.114
국해성,2016,두산,"3,000",0.543
최병욱,2016,두산,"3,000",
남경호,2016,두산,"3,000",
김진형,2016,두산,"3,000",
오장훈,2016,두산,"2,900",
조승수,2016,두산,"2,900",-0.174
김인태,2016,두산,"2,800",-0.272
이원재,2016,두산,"2,800",
장민익,2016,두산,"2,800",
이우성,2016,두산,"2,800",-0.06
강동연,2016,두산,"2,800",-0.095
한주성,2016,두산,"2,700",
이영하,2016,두산,"2,700",
전용훈,2016,두산,"2,700",
문진제,2016,두산,"2,700",
정진철,2016,두산,"2,700",-0.017
채지선,2016,두산,"2,700",
홍영현,2016,두산,"2,700",-0.066
최용제,2016,두산,"2,700",-0.07
이동원,2016,두산,"2,700",
장승현,2016,두산,"2,700",
박성민,2016,두산,"2,700",0.032
성영훈,2016,두산,"2,700",
오석,2016,두산,"2,700",
이찬기,2016,두산,"2,700",
양구렬,2016,두산,"2,700",
신창희,2016,두산,"2,700",
정덕현,2016,두산,"2,700",
홍성호,2016,두산,"2,700",
고봉재,2016,두산,"2,700",-0.02
황경태,2016,두산,"2,700",
노유성,2016,두산,"2,700",
조수행,2016,두산,"2,700",-0.215
서예일,2016,두산,"2,700",-0.117
이용호,2016,두산,"2,700",0.017
최정,2016,SK,"100,000",5.495
김광현,2016,SK,"85,000",3.688
켈리,2016,SK,"75,000",5.945
고메즈,2016,SK,"65,000",2.287
김강민,2016,SK,"60,000",2.476
박정권,2016,SK,"40,000",1.811
세든,2016,SK,"40,000",-0.242
이대수,2016,SK,"35,000",-0.233
조동화,2016,SK,"30,000",-0.537
이재원,2016,SK,"28,000",1.912
채병용,2016,SK,"25,000",1.672
김승회,2016,SK,"22,000",0.216
박재상,2016,SK,"20,000",0.088
나주환,2016,SK,"20,000",0.32
김성현,2016,SK,"18,000",2.639
이명기,2016,SK,"18,000",-0.116
라라,2016,SK,"18,000",-0.675
신재웅,2016,SK,"16,500",0.122
박희수,2016,SK,"14,000",1.94
전유수,2016,SK,"13,000",0.225
임준혁,2016,SK,"13,000",
정의윤,2016,SK,"12,000",1.791
윤희상,2016,SK,"12,000",2.397
박정배,2016,SK,"8,000",0.319
박종훈,2016,SK,"7,000",0.694
이승호,2016,SK,"7,000",
한동민,2016,SK,"6,500",0.046
박계현,2016,SK,"6,000",
문광은,2016,SK,"6,000",-0.301
전병두,2016,SK,"5,000",0.024
최승준,2016,SK,"4,200",0.624
김재현,2016,SK,"4,000",1.368
박민호,2016,SK,"4,000",0.519
백인식,2016,SK,"3,800",
허웅35,2016,SK,"3,300",
허웅,2016,SK,"3,300",
이상백,2016,SK,"3,200",
김민식,2016,SK,"3,000",0.729
서진용,2016,SK,"3,000",0.336
임치영,2016,SK,"3,000",
최정민,2016,SK,"3,000",0.433
김기현,2016,SK,"3,000",-0.216
문승원,2016,SK,"2,900",-0.073
유서준,2016,SK,"2,900",-0.262
윤석주,2016,SK,"2,800",
유상화,2016,SK,"2,700",
김정빈,2016,SK,"2,700",
이건욱,2016,SK,"2,700",-0.057
정영일,2016,SK,"2,700",0.393
김주한,2016,SK,"2,700",1.301
박종욱,2016,SK,"2,700",
이현석,2016,SK,"2,700",-0.113
최정용,2016,SK,"2,700",0.066
김정민,2016,SK,"2,700",
조한욱,2016,SK,"2,700",0.093
허웅,2016,SK,"2,700",
박승욱,2016,SK,"2,700",0.511
조성모,2016,SK,"2,700",0.052
김동엽,2016,SK,"2,700",0.461
박세웅,2016,SK,"2,700",
박광명,2016,SK,"2,700",
원용묵,2016,SK,"2,700",
최수빈,2016,SK,"2,700",
노관현,2016,SK,"2,700",
김대유,2016,SK,"2,700",
김민재,2016,SK,"2,700",
이정담,2016,SK,"2,700",0.079
하성진,2016,SK,"2,700",
김찬호,2016,SK,"2,700",
안상현,2016,SK,"2,700",
임석진,2016,SK,"2,700",-0.077
정동윤,2016,SK,"2,700",
허웅96,2016,SK,"2,700",
오수호,2016,SK,"2,400",
이병규9,2016,LG,"80,000",
이병규,2016,LG,"80,000",0.05
박용택,2016,LG,"80,000",3.195
이동현,2016,LG,"60,000",0.451
허프,2016,LG,"55,000",2.066
히메네스,2016,LG,"50,000",5.356
정상호,2016,LG,"50,000",-0.332
정성훈,2016,LG,"50,000",1.131
소사,2016,LG,"50,000",2.625
우규민,2016,LG,"40,000",0.76
정현욱,2016,LG,"40,000",-0.274
봉중근,2016,LG,"30,000",0.343
오지환,2016,LG,"25,000",4.44
코프랜드,2016,LG,"20,000",-0.379
류제국,2016,LG,"18,000",3.696
이병규,2016,LG,"15,600",0.05
이병규7,2016,LG,"15,600",
임훈,2016,LG,"13,000",-0.409
임정우,2016,LG,"12,500",2.055
윤지웅,2016,LG,"12,500",-0.173
손주인,2016,LG,"12,000",2.17
진해수,2016,LG,"9,500",0.731
최경철,2016,LG,"9,000",-0.411
유강남,2016,LG,"8,100",0.856
유원상,2016,LG,"7,500",0.02
양석환,2016,LG,"7,000",0.422
문선재,2016,LG,"6,500",1.174
김용의,2016,LG,"6,000",1.979
서상우,2016,LG,"6,000",0.481
신승현,2016,LG,"6,000",0.433
채은성,2016,LG,"5,500",1.799
정찬헌,2016,LG,"5,100",0.276
여건욱,2016,LG,"5,000",
정주현,2016,LG,"5,000",-1.182
장진용,2016,LG,"5,000",-0.554
김광삼,2016,LG,"5,000",
임찬규,2016,LG,"4,800",0.104
안익훈,2016,LG,"4,100",0.106
백창수,2016,LG,"4,000",0.248
김지용,2016,LG,"4,000",1.919
황목치승,2016,LG,"4,000",-0.073
김지성,2016,LG,"3,800",-0.091
이승현,2016,LG,"3,700",0.042
최동환,2016,LG,"3,500",0.559
임지섭,2016,LG,"3,500",
최성훈,2016,LG,"3,500",-0.379
이민재,2016,LG,"3,400",
윤진호,2016,LG,"3,300",-0.169
이범준,2016,LG,"3,000",
조윤준,2016,LG,"3,000",0.052
장준원,2016,LG,"3,000",-0.026
강병의,2016,LG,"3,000",
한희,2016,LG,"3,000",
박성준,2016,LG,"3,000",0.029
이진석,2016,LG,"2,900",
김재율,2016,LG,"2,900",
이준형,2016,LG,"2,800",-0.045
이천웅,2016,LG,"2,800",0.689
전인환,2016,LG,"2,700",0.292
배재준,2016,LG,"2,700",
김재성,2016,LG,"2,700",
최민창,2016,LG,"2,700",
이창호,2016,LG,"2,700",
박지규,2016,LG,"2,700",
정규식,2016,LG,"2,700",
김창혁,2016,LG,"2,700",
윤여운,2016,LG,"2,700",
김주성,2016,LG,"2,700",
유재유,2016,LG,"2,700",-0.292
김대현,2016,LG,"2,700",-0.025
이형종,2016,LG,"2,700",-0.26
박재욱,2016,LG,"2,700",-0.079
강승호,2016,LG,"2,700",-0.31
배민관,2016,LG,"2,700",0.046
전호영,2016,LG,"2,700",
이희성,2016,LG,"2,700",
홍창기,2016,LG,"2,700",-0.116
김기연,2016,LG,"2,700",
이영재,2016,LG,"2,700",
유경국,2016,LG,"2,700",0.023
양원혁,2016,LG,"2,700",
이정윤,2016,LG,"2,700",
김태영,2016,LG,"2,700",
양효준,2016,LG,"2,700",
김호은,2016,LG,"2,700",
이동규,2016,LG,"2,700",
천원석,2016,LG,"2,700",
나규호,2016,LG,"2,400",
신민재,2016,LG,0,
