선수,연도,팀,연봉(만원),WAR
헥터,2016,KIA,"170,000",6.644
윤석민,2016,KIA,"125,000",0.877
필,2016,KIA,"90,000",2.434
양현종,2016,KIA,"75,000",5.692
지크,2016,KIA,"70,000",1.543
이범호,2016,KIA,"65,000",4.629
김주찬,2016,KIA,"50,000",4.271
임창용,2016,KIA,"50,000",0.847
나지완,2016,KIA,"20,000",3.695
안치홍,2016,KIA,"15,000",-0.124
김병현,2016,KIA,"15,000",
김원섭,2016,KIA,"15,000",0.008
심동섭,2016,KIA,"14,000",-0.238
최영필,2016,KIA,"13,000",1.514
김선빈,2016,KIA,"13,000",0.284
김민우,2016,KIA,"12,000",-0.477
신종길,2016,KIA,"12,000",0.582
김진우,2016,KIA,"12,000",0.259
김광수,2016,KIA,"10,000",0.699
김태영,2016,KIA,"8,800",
고효준,2016,KIA,"8,000",
한승혁,2016,KIA,"7,000",0.334
김다원,2016,KIA,"7,000",0.239
이홍구,2016,KIA,"7,000",0.607
한기주,2016,KIA,"6,500",-0.274
이성우,2016,KIA,"6,500",-0.259
백용환,2016,KIA,"6,000",-0.405
고영우,2016,KIA,"6,000",-0.387
강한울,2016,KIA,"6,000",-0.058
유창식,2016,KIA,"6,000",-0.094
김호령,2016,KIA,"6,000",1.64
서동욱,2016,KIA,"5,800",2.661
김주형,2016,KIA,"5,500",1.626
곽정철,2016,KIA,"5,500",-0.106
최용규,2016,KIA,"5,000",
홍건희,2016,KIA,"4,500",1.521
신창호,2016,KIA,"3,700",
박찬호,2016,KIA,"3,700",-0.33
이호신,2016,KIA,"3,600",-0.325
전현태,2016,KIA,"3,500",
박준태,2016,KIA,"3,400",
홍재호,2016,KIA,"3,400",-0.14
배힘찬,2016,KIA,"3,300",-0.04
임기준,2016,KIA,"3,300",0.169
오준혁,2016,KIA,"3,300",0.283
김준,2016,KIA,"3,200",
최현정,2016,KIA,"3,000",
노수광,2016,KIA,"3,000",1.359
이인행,2016,KIA,"3,000",
이은총,2016,KIA,"3,000",
최병연,2016,KIA,"3,000",-0.204
황대인,2016,KIA,"3,000",0.165
김명찬,2016,KIA,"2,900",0.231
김지훈,2016,KIA,"2,900",
윤정우,2016,KIA,"2,900",0.408
전우엽,2016,KIA,"2,900",
정용운,2016,KIA,"2,800",-0.13
전은석,2016,KIA,"2,800",
박진두,2016,KIA,"2,800",
박상옥,2016,KIA,"2,800",
임한용,2016,KIA,"2,800",
백세웅,2016,KIA,"2,800",
이범석,2016,KIA,"2,800",
오두철,2016,KIA,"2,800",
한승택,2016,KIA,"2,700",-0.258
박동민,2016,KIA,"2,700",
문경찬,2016,KIA,"2,700",
박정수,2016,KIA,"2,700",
이종석,2016,KIA,"2,700",
이준영,2016,KIA,"2,700",-0.141
남재현,2016,KIA,"2,700",
신범수,2016,KIA,"2,700",
김규성,2016,KIA,"2,700",
이진영,2016,KIA,"2,700",-0.505
류승현,2016,KIA,"2,700",
서덕원,2016,KIA,"2,700",
전상현,2016,KIA,"2,700",-0.165
정동현,2016,KIA,"2,700",0.106
최원준,2016,KIA,"2,700",0.226
김현준,2016,KIA,"2,700",
김윤동,2016,KIA,"2,700",0.651
이승우,2016,KIA,"2,700",
윤완주,2016,KIA,0,
이승엽,2016,삼성,"100,000",2.664
윤성환,2016,삼성,"80,000",4.127
발디리스,2016,삼성,"80,000",0.554
장원삼,2016,삼성,"75,000",-0.5
웹스터,2016,삼성,"75,000",0.804
최형우,2016,삼성,"70,000",7.959
박한이,2016,삼성,"45,000",1.479
레온,2016,삼성,"45,000",-0.284
조동찬,2016,삼성,"40,000",0.479
차우찬,2016,삼성,"40,000",3.178
벨레스터,2016,삼성,"40,000",-0.298
김상수,2016,삼성,"31,000",-0.198
플란데,2016,삼성,"25,000",-0.87
이지영,2016,삼성,"21,000",1.182
배영섭,2016,삼성,"16,000",0.881
박해민,2016,삼성,"15,000",3.192
백정현,2016,삼성,"15,000",0.746
심창민,2016,삼성,"14,000",2.791
박근홍,2016,삼성,"11,000",-0.266
김대우,2016,삼성,"11,000",0.834
구자욱,2016,삼성,"8,000",4.193
권오준,2016,삼성,"7,000",1.2
정인욱,2016,삼성,"6,000",-0.366
김건한,2016,삼성,"6,000",0.238
김태완,2016,삼성,"6,000",-0.298
우동균,2016,삼성,"5,500",0.102
신용운,2016,삼성,"5,500",-0.061
이영욱,2016,삼성,"5,500",-0.125
최재원,2016,삼성,"5,000",1.231
백상원,2016,삼성,"4,500",1.615
김현우,2016,삼성,"4,500",0.422
이정식,2016,삼성,"4,500",-0.183
조현근,2016,삼성,"4,500",-0.147
김기태,2016,삼성,"4,000",0.045
나성용,2016,삼성,"3,700",-0.135
최선호,2016,삼성,"3,500",-0.549
이상훈,2016,삼성,"3,500",-0.22
김정혁,2016,삼성,"3,300",-0.286
임현준,2016,삼성,"3,300",-0.129
박찬도,2016,삼성,"3,100",
성의준,2016,삼성,"3,000",-0.048
최민구,2016,삼성,"2,900",
서동환,2016,삼성,"2,900",
안성무,2016,삼성,"2,900",
박계범,2016,삼성,"2,900",0.02
윤영수,2016,삼성,"2,900",
정민우,2016,삼성,"2,900",
윤대경,2016,삼성,"2,800",
박제윤,2016,삼성,"2,800",
김응민,2016,삼성,"2,800",
정광운,2016,삼성,"2,800",
장필준,2016,삼성,"2,800",0.989
김성표,2016,삼성,"2,800",
구준범,2016,삼성,"2,800",
문선엽,2016,삼성,"2,800",
노진용,2016,삼성,"2,800",
배진호,2016,삼성,"2,700",
김성한,2016,삼성,"2,700",
최주엽,2016,삼성,"2,700",
박상원,2016,삼성,"2,700",
김동호,2016,삼성,"2,700",-0.065
김융,2016,삼성,"2,700",
최승민,2016,삼성,"2,700",
우병걸,2016,삼성,"2,700",
정두산,2016,삼성,"2,700",
남기효,2016,삼성,"2,700",
황수범,2016,삼성,"2,700",
김성훈,2016,삼성,"2,700",
권정웅,2016,삼성,"2,700",0.068
최충연,2016,삼성,"2,700",-0.355
차화준,2016,삼성,"2,700",
이케빈,2016,삼성,"2,700",
